,ID,CooX,CooY,CooZ,Date,Value
1595,Monturaqui,557103.126,7307450.25499999,3430.0,1978-05-31,5.7
1691,Peine,595137.0,7380682.0,2460.0,1978-05-31,14.5
2003,San_Pedro,581987.0,7466178.0,2450.0,1978-05-31,13.9
2165,Socaire,613092.0,7390963.0,3251.0,1978-05-31,8.3
58,Caspana,581126.0,7529664.0,3260.0,1978-06-30,6.6
1596,Monturaqui,557103.126,7307450.25499999,3430.0,1978-06-30,1.3
1692,Peine,595137.0,7380682.0,2460.0,1978-06-30,10.4
2004,San_Pedro,581987.0,7466178.0,2450.0,1978-06-30,10.1
2166,Socaire,613092.0,7390963.0,3251.0,1978-06-30,6.0
59,Caspana,581126.0,7529664.0,3260.0,1978-07-31,7.5
1597,Monturaqui,557103.126,7307450.25499999,3430.0,1978-07-31,2.6
1693,Peine,595137.0,7380682.0,2460.0,1978-07-31,11.0
2005,San_Pedro,581987.0,7466178.0,2450.0,1978-07-31,9.5
2167,Socaire,613092.0,7390963.0,3251.0,1978-07-31,6.5
60,Caspana,581126.0,7529664.0,3260.0,1978-08-31,8.0
1598,Monturaqui,557103.126,7307450.25499999,3430.0,1978-08-31,3.3
1694,Peine,595137.0,7380682.0,2460.0,1978-08-31,12.2
2006,San_Pedro,581987.0,7466178.0,2450.0,1978-08-31,12.0
2168,Socaire,613092.0,7390963.0,3251.0,1978-08-31,7.3
61,Caspana,581126.0,7529664.0,3260.0,1978-09-30,8.3
1599,Monturaqui,557103.126,7307450.25499999,3430.0,1978-09-30,4.6
1695,Peine,595137.0,7380682.0,2460.0,1978-09-30,13.2
2007,San_Pedro,581987.0,7466178.0,2450.0,1978-09-30,11.3
2169,Socaire,613092.0,7390963.0,3251.0,1978-09-30,7.3
62,Caspana,581126.0,7529664.0,3260.0,1978-10-31,10.2
1600,Monturaqui,557103.126,7307450.25499999,3430.0,1978-10-31,9.0
1696,Peine,595137.0,7380682.0,2460.0,1978-10-31,17.2
2008,San_Pedro,581987.0,7466178.0,2450.0,1978-10-31,14.3
63,Caspana,581126.0,7529664.0,3260.0,1978-11-30,12.6
1601,Monturaqui,557103.126,7307450.25499999,3430.0,1978-11-30,11.3
1697,Peine,595137.0,7380682.0,2460.0,1978-11-30,18.6
2009,San_Pedro,581987.0,7466178.0,2450.0,1978-11-30,17.0
64,Caspana,581126.0,7529664.0,3260.0,1978-12-31,13.3
1602,Monturaqui,557103.126,7307450.25499999,3430.0,1978-12-31,11.3
1698,Peine,595137.0,7380682.0,2460.0,1978-12-31,19.1
2010,San_Pedro,581987.0,7466178.0,2450.0,1978-12-31,18.5
2170,Socaire,613092.0,7390963.0,3251.0,1978-12-31,13.0
65,Caspana,581126.0,7529664.0,3260.0,1979-01-31,11.8
1603,Monturaqui,557103.126,7307450.25499999,3430.0,1979-01-31,11.7
1699,Peine,595137.0,7380682.0,2460.0,1979-01-31,20.8
2011,San_Pedro,581987.0,7466178.0,2450.0,1979-01-31,20.4
2171,Socaire,613092.0,7390963.0,3251.0,1979-01-31,12.5
